DATE,LAT,LON,Site_name,Latin_name,Time,Creation_date
2010-10-24 19:00:00,29.83936,-7.21223,oued maleh,Pipistrellus kuhlii,,2011-02-01 16:28:37.387000
2010-10-24 19:00:00,29.83936,-7.21223,oued maleh,Rhinopoma hardwickei,,2011-02-01 16:28:37.387000
2010-10-24 19:00:00,29.83936,-7.21223,oued maleh,Chiroptera,1899-12-30 19:51:00,2011-02-01 16:28:37.387000
2010-10-24 19:00:00,29.83936,-7.21223,oued maleh,Chiroptera,1899-12-30 20:00:00,2011-02-01 16:28:37.387000
2011-08-14 00:00:01,29.91034,-7.32923,oued tissint,Pipistrellus rueppelli,1899-12-30 01:00:00,2011-11-25 12:13:18.273000
2011-08-14 00:00:01,29.91034,-7.32923,oued tissint,Asellia tridens,1899-12-30 02:44:00,2011-11-25 12:13:18.273000
2011-08-14 00:00:01,29.91034,-7.32923,oued tissint,Pipistrellus rueppelli,1899-12-30 02:55:00,2011-11-25 12:13:18.273000
2011-08-14 00:00:01,29.91034,-7.32923,oued tissint,Pipistrellus rueppelli,1899-12-30 03:09:00,2011-11-25 12:13:18.273000
2011-08-20 19:00:00,29.74121,-7.96497,,Pipistrellus kuhlii,1899-12-30 21:53:00,2011-11-26 08:47:02.357000
2011-08-18 00:00:01,29.70845,-7.99699,,Chiroptera,1899-12-30 00:53:00,2011-11-26 15:04:37.447000
2011-08-18 00:00:01,29.70845,-7.99699,,Otonycteris hemprichii,1899-12-30 02:17:00,2011-11-26 15:04:37.447000
2011-08-18 00:00:01,29.70845,-7.99699,,Chiroptera,1899-12-30 02:31:00,2011-11-26 15:04:37.447000
2011-08-11 00:00:01,29.87512,-6.71120,nm loumkil,Asellia tridens,1899-12-30 04:13:00,2011-11-28 09:42:30.360000
2011-08-11 00:00:01,29.87512,-6.71120,nm loumkil,Pipistrellus kuhlii,1899-12-30 04:13:00,2011-11-28 09:42:30.360000
2011-08-11 00:00:01,29.87512,-6.71120,nm loumkil,Asellia tridens,1899-12-30 00:25:00,2011-11-28 09:42:30.360000
2011-08-11 00:00:01,29.87512,-6.71120,nm loumkil,Asellia tridens,1899-12-30 00:35:00,2011-11-28 09:42:30.360000
2011-08-11 00:00:01,29.87512,-6.71120,nm loumkil,Pipistrellus kuhlii,1899-12-30 00:51:00,2011-11-28 09:42:30.360000
2011-08-11 00:00:01,29.87512,-6.71120,nm loumkil,Asellia tridens,1899-12-30 02:30:00,2011-11-28 09:42:30.360000
2011-08-11 00:00:01,29.87512,-6.71120,nm loumkil,Pipistrellus kuhlii,1899-12-30 02:30:00,2011-11-28 09:42:30.360000
2011-05-31 18:52:00,29.72124,-7.65661,nm boulaaraiche,Pipistrellus kuhlii,1899-12-30 20:58:00,2011-06-03 09:11:41.633000
2011-05-31 18:52:00,29.72124,-7.65661,nm boulaaraiche,Pipistrellus kuhlii,1899-12-30 21:33:00,2011-06-03 09:11:41.633000
2011-08-15 19:00:00,29.49452,-8.00029,nm Tiggane,Asellia tridens,1899-12-30 20:49:00,2011-11-25 17:27:23.887000
2011-08-16 00:00:01,29.49452,-8.00029,nm Tiggane,Chiroptera,1899-12-30 04:08:00,2011-11-25 17:28:18.510000
2011-08-16 00:00:01,29.49452,-8.00029,nm Tiggane,Pipistrellus kuhlii,1899-12-30 04:08:00,2011-11-25 17:28:18.510000
2011-08-16 00:00:01,29.49452,-8.00029,nm Tiggane,Otonycteris hemprichii,1899-12-30 04:15:00,2011-11-25 17:28:18.510000
2011-08-16 00:00:01,29.49452,-8.00029,nm Tiggane,Pipistrellus kuhlii,1899-12-30 04:15:00,2011-11-25 17:28:18.510000
2011-08-16 19:00:00,29.81277,-7.98925,,Rhinopoma hardwickei,1899-12-30 19:45:00,2011-11-25 17:57:16.830000
2011-08-16 19:00:00,29.81277,-7.98925,,Rhinopoma hardwickei,,2011-11-25 17:57:16.830000
2011-08-16 19:00:00,29.81277,-7.98925,,Tadarida teniotis,1899-12-30 21:27:00,2011-11-25 17:57:16.830000
2011-08-17 00:00:01,29.81277,-7.98925,,Otonycteris hemprichii,1899-12-30 00:45:00,2011-11-25 17:57:58.950000
2011-08-17 00:00:01,29.81277,-7.98925,,Otonycteris hemprichii,1899-12-30 01:50:00,2011-11-25 17:57:58.950000
2011-08-12 19:00:00,29.96985,-7.34755,nm timjerjt,Asellia tridens,1899-12-30 20:50:00,2011-11-28 08:39:15.800000
2011-08-12 19:00:00,29.96985,-7.34755,nm timjerjt,Chiroptera,1899-12-30 21:23:00,2011-11-28 08:39:15.800000
2011-08-13 00:00:01,29.96985,-7.34755,,Pipistrellus rueppelli,1899-12-30 03:05:00,2011-11-28 09:11:06.273000
2011-08-12 00:00:01,29.83871,-7.20971,oued maleh,Pipistrellus kuhlii,,2011-11-28 09:19:57.560000
2011-08-12 00:00:01,29.83871,-7.20971,oued maleh,Asellia tridens,,2011-11-28 09:19:57.560000
2007-10-02 17:50:00,29.74309,-7.96899,,Asellia tridens,,2009-04-21 08:39:25.800000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus rueppelli,1899-12-30 19:47:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus rueppelli,1899-12-30 20:25:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus rueppelli,1899-12-30 22:47:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus rueppelli,1899-12-30 22:49:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus rueppelli,1899-12-30 22:51:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus rueppelli,1899-12-30 22:53:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus kuhlii,1899-12-30 20:14:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus rueppelli,1899-12-30 20:14:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus rueppelli,1899-12-30 22:57:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus kuhlii,1899-12-30 20:25:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus rueppelli,1899-12-30 20:36:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus rueppelli,1899-12-30 20:55:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus kuhlii,1899-12-30 20:55:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Chiroptera,1899-12-30 20:30:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus rueppelli,1899-12-30 21:37:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus rueppelli,1899-12-30 22:10:00,2011-02-01 13:22:21.743000
2010-11-12 19:00:00,29.91034,-7.32932,oued tissint,Pipistrellus rueppelli,1899-12-30 22:06:00,2011-02-01 13:22:21.743000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Tadarida teniotis,1899-12-30 20:24:00,2011-02-01 15:23:46.343000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Chiroptera,1899-12-30 19:19:00,2011-02-01 15:23:46.343000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Pipistrellus rueppelli,1899-12-30 19:21:00,2011-02-01 15:23:46.343000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Pipistrellus rueppelli,1899-12-30 19:29:00,2011-02-01 15:23:46.343000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Pipistrellus rueppelli,1899-12-30 19:34:00,2011-02-01 15:23:46.343000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Chiroptera,1899-12-30 20:24:00,2011-02-01 15:23:46.343000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Pipistrellus rueppelli,1899-12-30 19:19:00,2011-02-01 15:23:46.343000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Pipistrellus rueppelli,1899-12-30 20:24:00,2011-02-01 15:23:46.343000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Pipistrellus rueppelli,1899-12-30 20:15:00,2011-02-01 15:23:46.343000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Tadarida teniotis,1899-12-30 20:15:00,2011-02-01 15:23:46.343000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Pipistrellus kuhlii,1899-12-30 20:11:00,2011-02-01 15:23:46.343000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Pipistrellus rueppelli,1899-12-30 19:46:00,2011-02-01 15:23:46.343000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Chiroptera,1899-12-30 19:55:00,2011-02-01 15:23:46.343000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Chiroptera,1899-12-30 19:58:00,2011-02-01 15:23:46.343000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Chiroptera,1899-12-30 20:01:00,2011-02-01 15:23:46.343000
2010-11-06 19:00:00,29.91034,-7.32923,oued tissint,Pipistrellus rueppelli,1899-12-30 20:11:00,2011-02-01 15:23:46.343000
2010-11-07 19:00:00,29.94501,-7.32664,nm agoulzi,Pipistrellus rueppelli,,2011-02-01 16:19:53.487000
2010-11-07 19:00:00,29.94501,-7.32664,nm agoulzi,Tadarida teniotis,1899-12-30 21:25:00,2011-02-01 16:19:53.487000
2010-11-07 19:00:00,29.94501,-7.32664,nm agoulzi,Tadarida teniotis,,2011-02-01 16:19:53.487000
2010-11-07 19:00:00,29.94501,-7.32664,nm agoulzi,Pipistrellus kuhlii,,2011-02-01 16:19:53.487000
2011-05-25 19:03:00,29.49473,-8.00062,nm Tiggane,Pipistrellus kuhlii,1899-12-30 19:33:00,2011-06-01 19:26:04.827000
2011-05-25 19:03:00,29.49473,-8.00062,nm Tiggane,Pipistrellus kuhlii,1899-12-30 19:43:00,2011-06-01 19:26:04.827000
2011-05-25 19:03:00,29.49473,-8.00062,nm Tiggane,Rhinopoma hardwickei,1899-12-30 20:02:00,2011-06-01 19:26:04.827000
2011-05-25 19:03:00,29.49473,-8.00062,nm Tiggane,Otonycteris hemprichii,1899-12-30 22:19:00,2011-06-01 19:26:04.827000
2011-05-27 19:30:00,29.94876,-7.33074,nm agoulzi,Pipistrellus rueppelli,1899-12-30 19:45:00,2011-06-01 19:26:04.880000
2011-05-27 19:30:00,29.94876,-7.33074,nm agoulzi,Pipistrellus kuhlii,1899-12-30 20:07:00,2011-06-01 19:26:04.880000
2011-05-27 19:30:00,29.94876,-7.33074,nm agoulzi,Pipistrellus kuhlii,1899-12-30 21:38:00,2011-06-01 19:26:04.880000
2011-05-27 19:30:00,29.94876,-7.33074,nm agoulzi,Pipistrellus kuhlii,1899-12-30 23:25:00,2011-06-01 19:26:04.880000
2011-05-27 19:30:00,29.94876,-7.33074,nm agoulzi,Rhinopoma hardwickei,1899-12-30 23:25:00,2011-06-01 19:26:04.880000
2011-05-29 05:02:00,30.14646,-7.38580,,Eptesicus isabellinus,1899-12-30 00:21:00,2011-06-01 19:26:04.930000
2011-05-29 05:02:00,30.14646,-7.38580,,Chiroptera,1899-12-30 00:40:00,2011-06-01 19:26:04.930000
2011-05-29 05:02:00,30.14646,-7.38580,,Chiroptera,1899-12-30 00:50:00,2011-06-01 19:26:04.930000
2011-05-29 05:02:00,30.14646,-7.38580,,Chiroptera,1899-12-30 01:20:00,2011-06-01 19:26:04.930000
2011-05-29 05:02:00,30.14646,-7.38580,,Pipistrellus kuhlii,1899-12-30 02:10:00,2011-06-01 19:26:04.930000
2011-05-29 05:02:00,30.14646,-7.38580,,Eptesicus isabellinus,1899-12-30 02:50:00,2011-06-01 19:26:04.930000
2011-08-18 19:00:00,29.74000,-7.97642,nm tata,Pipistrellus kuhlii,1899-12-30 19:53:00,2011-11-26 08:58:54.927000
2011-08-18 19:00:00,29.74000,-7.97642,nm tata,Pipistrellus rueppelli,1899-12-30 21:18:00,2011-11-26 08:58:54.927000
2011-08-18 19:00:00,29.74000,-7.97642,nm tata,Asellia tridens,,2011-11-26 08:58:54.927000
2011-08-09 22:00:00,30.45420,-6.95883,nm amazigh,Otonycteris hemprichii,1899-12-30 23:50:00,2011-11-26 09:44:28.100000
2011-08-09 22:00:00,30.45420,-6.95883,nm amazigh,Pipistrellus kuhlii,1899-12-30 23:24:00,2011-11-26 09:44:28.100000
2011-08-09 22:00:00,30.45420,-6.95883,nm amazigh,Chiroptera,1899-12-30 23:42:00,2011-11-26 09:44:28.100000
2011-08-10 00:00:01,30.45420,-6.95883,nm amazigh,Otonycteris hemprichii,1899-12-30 02:51:00,2011-11-26 10:45:30.167000
2011-08-10 00:00:01,30.45420,-6.95883,nm amazigh,Asellia tridens,1899-12-30 02:59:00,2011-11-26 10:45:30.167000
2011-08-10 00:00:01,30.45420,-6.95883,nm amazigh,Tadarida teniotis,1899-12-30 03:05:00,2011-11-26 10:45:30.167000
2011-08-10 00:00:01,30.45420,-6.95883,nm amazigh,Otonycteris hemprichii,1899-12-30 03:43:00,2011-11-26 10:45:30.167000
2011-08-10 00:00:01,30.45420,-6.95883,nm amazigh,Pipistrellus kuhlii,1899-12-30 04:00:00,2011-11-26 10:45:30.167000
2011-08-10 00:00:01,30.45420,-6.95883,nm amazigh,Tadarida teniotis,1899-12-30 00:52:00,2011-11-26 10:45:30.167000
2011-08-10 00:00:01,30.45420,-6.95883,nm amazigh,Chiroptera,1899-12-30 01:50:00,2011-11-26 10:45:30.167000
2011-08-10 00:00:01,30.45420,-6.95883,nm amazigh,Otonycteris hemprichii,1899-12-30 01:17:00,2011-11-26 10:45:30.167000
2011-11-01 20:00:00,29.38549,-8.26087,,Tadarida teniotis,1899-12-30 20:00:00,2012-01-23 12:16:20.417000
2010-10-28 19:00:00,29.76896,-6.89955,nm tantana,Pipistrellus kuhlii,1899-12-30 19:22:00,2011-02-02 13:07:47.550000
2010-10-28 19:00:00,29.76896,-6.89955,nm tantana,Chiroptera,1899-12-30 22:21:00,2011-02-02 13:07:47.550000
2010-10-28 19:00:00,29.76896,-6.89955,nm tantana,Pipistrellus kuhlii,1899-12-30 22:49:00,2011-02-02 13:07:47.550000
2010-10-28 19:00:00,29.76896,-6.89955,nm tantana,Pipistrellus kuhlii,1899-12-30 22:59:00,2011-02-02 13:07:47.550000
2011-05-23 18:15:00,29.91706,-7.47807,nm boudhir,Pipistrellus kuhlii,1899-12-30 20:08:00,2011-06-01 19:26:04.173000
2011-05-23 18:15:00,29.91706,-7.47807,nm boudhir,Pipistrellus kuhlii,1899-12-30 20:16:00,2011-06-01 19:26:04.173000
2011-05-23 18:15:00,29.91706,-7.47807,nm boudhir,Otonycteris hemprichii,1899-12-30 23:05:00,2011-06-01 19:26:04.173000
2011-05-23 18:15:00,29.91706,-7.47807,nm boudhir,Pipistrellus kuhlii,1899-12-30 23:05:00,2011-06-01 19:26:04.173000
2011-05-23 18:15:00,29.91706,-7.47807,nm boudhir,Pipistrellus kuhlii,1899-12-30 23:09:00,2011-06-01 19:26:04.173000
2011-05-24 18:11:00,30.25786,-7.05513,nm foum klit,Eptesicus isabellinus,1899-12-30 20:02:00,2011-06-01 19:26:04.287000
2011-05-24 18:11:00,30.25786,-7.05513,nm foum klit,Tadarida teniotis,1899-12-30 20:34:00,2011-06-01 19:26:04.287000
2011-05-24 18:11:00,30.25786,-7.05513,nm foum klit,Pipistrellus kuhlii,1899-12-30 20:37:00,2011-06-01 19:26:04.287000
2011-05-24 18:11:00,30.25786,-7.05513,nm foum klit,Rhinopoma hardwickei,1899-12-30 20:51:00,2011-06-01 19:26:04.287000
2011-05-24 18:11:00,30.25786,-7.05513,nm foum klit,Eptesicus isabellinus,1899-12-30 21:15:00,2011-06-01 19:26:04.287000
2011-05-30 20:00:00,30.06286,-6.86829,,Tadarida teniotis,1899-12-30 22:01:00,2011-11-24 17:56:16.350000
2011-05-30 20:00:00,30.06286,-6.86829,,Rhinopoma hardwickei,1899-12-30 22:01:00,2011-11-24 17:56:16.350000
2011-05-30 20:00:00,30.06286,-6.86829,,Pipistrellus kuhlii,1899-12-30 22:03:00,2011-11-24 17:56:16.350000
2011-05-30 20:00:00,30.06286,-6.86829,,Tadarida teniotis,1899-12-30 22:03:00,2011-11-24 17:56:16.350000
2011-05-30 20:00:00,30.06286,-6.86829,,Rhinopoma hardwickei,1899-12-30 22:03:00,2011-11-24 17:56:16.350000
2011-08-13 19:00:00,29.91034,-7.32923,oued tissint,Chiroptera,1899-12-30 19:30:00,2011-11-25 12:12:28.563000
2011-08-13 19:00:00,29.91034,-7.32923,oued tissint,Rhinopoma hardwickei,,2011-11-25 12:12:28.563000
2011-08-13 19:00:00,29.91034,-7.32923,oued tissint,Pipistrellus rueppelli,1899-12-30 21:25:00,2011-11-25 12:12:28.563000
2011-08-13 19:00:00,29.91034,-7.32923,oued tissint,Asellia tridens,,2011-11-25 12:12:28.563000
2011-08-13 19:00:00,29.91034,-7.32923,oued tissint,Chiroptera,1899-12-30 21:50:00,2011-11-25 12:12:28.563000
2011-08-13 19:00:00,29.91034,-7.32923,oued tissint,Pipistrellus rueppelli,1899-12-30 22:08:00,2011-11-25 12:12:28.563000
2011-08-13 19:00:00,29.91034,-7.32923,oued tissint,Pipistrellus rueppelli,1899-12-30 22:19:00,2011-11-25 12:12:28.563000
2011-08-14 19:00:00,29.72124,-7.65661,,Asellia tridens,1899-12-30 22:20:00,2011-11-25 17:18:07.630000
2011-08-14 19:00:00,29.72124,-7.65661,,Pipistrellus kuhlii,1899-12-30 21:45:00,2011-11-25 17:18:07.630000
2011-08-14 19:00:00,29.72124,-7.65661,,Asellia tridens,1899-12-30 23:12:00,2011-11-25 17:18:07.630000
2011-08-19 19:00:00,29.43459,-8.26809,nm kasbat,Pipistrellus kuhlii,,2011-11-26 08:50:52.107000
2011-08-19 19:00:00,29.43459,-8.26809,nm kasbat,Asellia tridens,,2011-11-26 08:50:52.107000
2011-08-19 19:00:00,29.43459,-8.26809,nm kasbat,Pipistrellus rueppelli,1899-12-30 19:40:00,2011-11-26 08:50:52.107000
2011-08-19 19:00:00,29.43459,-8.26809,nm kasbat,Rhinopoma hardwickei,,2011-11-26 08:50:52.107000
2011-08-19 19:00:00,29.43459,-8.26809,nm kasbat,Otonycteris hemprichii,1899-12-30 20:40:00,2011-11-26 08:50:52.107000
2011-08-17 19:00:00,29.70845,-7.99699,nm taghla,Rhinopoma hardwickei,1899-12-30 19:32:00,2011-11-26 12:43:49.480000
2011-08-17 19:00:00,29.70845,-7.99699,nm taghla,Asellia tridens,1899-12-30 19:35:00,2011-11-26 12:43:49.480000
2011-08-17 19:00:00,29.70845,-7.99699,nm taghla,Eptesicus isabellinus,1899-12-30 22:15:00,2011-11-26 12:43:49.480000
2011-08-17 19:00:00,29.70845,-7.99699,nm taghla,Chiroptera,1899-12-30 22:25:00,2011-11-26 12:43:49.480000
